,state,city,site,site_name,year,pm25,pm10,so2,co,no2,ozone
42,Delhi,Delhi,site_1424,"Jawaharlal Nehru Stadium, Delhi - DPCC",2019,105.63197931528632,216.3370134802768,17.770706277713856,1.997251195458134,69.6061314294908,35.475050007620695
43,Delhi,Delhi,site_1424,"Jawaharlal Nehru Stadium, Delhi - DPCC",2020,90.12866979942076,165.80911714367406,19.245427258096953,,43.81677252762068,39.57338585889487
44,Delhi,Delhi,site_1425,"Major Dhyan Chand National Stadium, Delhi - DPCC",2019,94.30111729538967,203.73630792553934,13.186099483007188,1.7528081908095317,62.18477547765354,26.295311572216896
45,Delhi,Delhi,site_1425,"Major Dhyan Chand National Stadium, Delhi - DPCC",2020,86.02084258368895,158.14983732125702,15.987946684841319,,41.657930272837504,32.75073496683227
46,Delhi,Delhi,site_1426,"Narela, Delhi - DPCC",2019,109.20996486098615,228.4895077849276,14.727007045920715,1.4681236395904922,39.7772186596209,39.173967665489386
47,Delhi,Delhi,site_1426,"Narela, Delhi - DPCC",2020,107.24770921444917,216.7697994632447,10.972442083715706,,39.90288493754709,36.59668291564221
48,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",2019,94.90136420280871,161.6972824237827,13.515927960403173,,30.66916996130231,49.495211094806415
49,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",2020,90.08613171948186,157.78651102187294,10.264345724603427,,20.731959488816056,31.113744742755966
50,Delhi,Delhi,site_1428,"Okhla Phase-2, Delhi - DPCC",2019,109.1345166260417,215.12360248250363,12.478597988558318,,39.1565104403159,26.75087258280466
51,Delhi,Delhi,site_1428,"Okhla Phase-2, Delhi - DPCC",2020,96.70619997245134,190.17544437746642,14.816481583077282,1.5510264190269012,40.731322219588904,29.652633812920687
52,Delhi,Delhi,site_1429,"Nehru Nagar, Delhi - DPCC",2019,123.19011612185378,223.1421090757866,17.953300919313698,1.6506211538780797,44.48102385781401,38.52289468609773
53,Delhi,Delhi,site_1429,"Nehru Nagar, Delhi - DPCC",2020,112.79890696667435,187.32310024758016,11.863290767904898,1.5924672453175055,38.086062799317816,46.57433130600477
54,Delhi,Delhi,site_1430,"Rohini, Delhi - DPCC",2019,130.87712222670586,239.13789392194684,12.62312668662108,1.4660826095758268,33.61925226322642,33.335213452658415
55,Delhi,Delhi,site_1430,"Rohini, Delhi - DPCC",2020,120.3864524368099,212.90179114558939,7.208614719839753,,24.01655611582377,17.242241563038856
56,Delhi,Delhi,site_1431,"Patparganj, Delhi - DPCC",2019,99.01136683710789,191.14869128956266,4.151262523261226,,19.87513152579616,23.09642405284542
57,Delhi,Delhi,site_1431,"Patparganj, Delhi - DPCC",2020,97.48423063510646,164.96276137070015,6.432571743768332,,20.480552134457188,17.30831757426899
58,Delhi,Delhi,site_1432,"Sonia Vihar, Delhi - DPCC",2019,108.41581058853475,208.88858584704852,12.036791537581955,,35.28584149730835,39.64048524923969
59,Delhi,Delhi,site_1432,"Sonia Vihar, Delhi - DPCC",2020,108.65483872095423,192.4756353901196,12.313658725663375,,36.71414685720939,46.13384149277698
60,Delhi,Delhi,site_1434,"Wazirpur, Delhi - DPCC",2019,137.70144237070477,289.7615399189369,16.277153315990578,1.5839753621954134,59.159471950890726,27.397717627010536
61,Delhi,Delhi,site_1434,"Wazirpur, Delhi - DPCC",2020,93.8174319637115,218.02752095730898,18.550356127395272,1.9524911585306943,43.030164743181764,19.73664162989987
62,Delhi,Delhi,site_1435,"Vivek Vihar, Delhi - DPCC",2019,113.91224427371431,243.73256552596865,18.902321201896783,,31.949100374940997,42.33321948037689
63,Delhi,Delhi,site_1435,"Vivek Vihar, Delhi - DPCC",2020,114.83072738075188,219.4338294501325,24.22098811917807,,36.33615601884469,32.12813606261077
64,Delhi,Delhi,site_1560,"Bawana, Delhi - DPCC",2019,131.64268451230834,239.30310840910622,13.361982017758388,,47.555932389592435,45.94315720289439
65,Delhi,Delhi,site_1560,"Bawana, Delhi - DPCC",2020,124.80903057203483,224.25580767813344,11.861005368736349,,32.11070829873586,43.12148142483006
66,Delhi,Delhi,site_1561,"Mundka, Delhi - DPCC",2019,127.59937201247526,280.55095745177505,16.4580108349146,,33.576872791393576,23.659150292565123
67,Delhi,Delhi,site_1561,"Mundka, Delhi - DPCC",2020,119.79876334887311,227.21502373187397,13.935557636540967,,37.07701141860821,37.93524546022163
68,Delhi,Delhi,site_1562,"Sri Aurobindo Marg, Delhi - DPCC",2019,92.14953810962933,169.49574078689565,8.940112437265187,1.2267772311853011,37.04721854986491,47.63133871045225
69,Delhi,Delhi,site_1562,"Sri Aurobindo Marg, Delhi - DPCC",2020,83.75896047491065,120.4549048247769,7.457499550710205,1.02401038749893,23.27215101327256,40.99239860963352
70,Delhi,Delhi,site_1563,"Pusa, Delhi - DPCC",2019,102.68551643264962,212.73521104407345,15.231818580158572,1.6110782275666975,60.93273108951087,26.533597658874147
71,Delhi,Delhi,site_1563,"Pusa, Delhi - DPCC",2020,98.9143077428338,181.24271854749503,15.421307449220517,,51.155124103435654,27.98329987962308
72,Delhi,Delhi,site_301,"Anand Vihar, Delhi - DPCC",2019,128.2643674703809,268.5174893739089,13.346572726045538,2.06983407078268,85.78968517014192,27.353592901537144
73,Delhi,Delhi,site_301,"Anand Vihar, Delhi - DPCC",2020,117.40127698493299,209.42328129128305,14.225711429254511,,60.23971073723791,43.99576190491403
74,Delhi,Delhi,site_5024,"Alipur, Delhi - DPCC",2019,108.02046264216463,197.34412485996594,22.375972503164643,,54.166656754776476,34.48428989321774
75,Delhi,Delhi,site_5024,"Alipur, Delhi - DPCC",2020,104.18669105704234,190.37982751502474,13.244771677742959,,31.27267435542494,30.898103661759933
76,Delhi,Delhi,site_5393,"Chandni Chowk, Delhi - IITM",2019,,,,,,
77,Delhi,Delhi,site_5393,"Chandni Chowk, Delhi - IITM",2020,,,,,,
78,Delhi,Delhi,site_5395,"Lodhi Road, Delhi - IITM",2019,,,,,,
79,Delhi,Delhi,site_5395,"Lodhi Road, Delhi - IITM",2020,,,,,,
0,Delhi,Delhi,site_103,"CRRI Mathura Road, Delhi - IMD",2021,103.33453567368623,233.74043293777757,,2.3677649841158916,26.323804194769377,26.41059062018576
1,Delhi,Delhi,site_104,"Burari Crossing, Delhi - IMD",2021,,,,,,
2,Delhi,Delhi,site_105,"North Campus, DU, Delhi - IMD",2021,102.75454992051512,194.4989141007557,,1.4423803740513526,31.623563580965573,22.861193450002826
3,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi - IMD",2021,,,,,,
4,Delhi,Delhi,site_107,"Pusa, Delhi - IMD",2021,,,,,46.3850470087844,
5,Delhi,Delhi,site_108,"Aya Nagar, Delhi - IMD",2021,76.99716416225525,156.9815065756808,,,14.185969519207053,21.20892388523343
6,Delhi,Delhi,site_109,"Lodhi Road, Delhi - IMD",2021,82.55538844530702,172.6534513638323,,,12.948683828917595,17.940478189527365
7,Delhi,Delhi,site_113,"Shadipur, Delhi - CPCB",2021,75.90667886698373,236.58351203020115,11.000322352005439,1.4037506588475681,44.999498550212465,22.96603303850962
8,Delhi,Delhi,site_114,"IHBAS, Dilshad Garden, Delhi - CPCB",2021,90.12207725979815,208.65912136334697,10.78904844474348,1.3666577653040635,51.59997836077199,15.744017973418881
9,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",2021,99.43762469820086,217.44472785188958,9.286976500357312,1.1031218069215973,31.342745008147617,26.408095166411822
10,Delhi,Delhi,site_116,"East Arjun Nagar, Delhi - CPCB",2021,,,23.233757456356123,,67.92949705701342,54.185166623022006
11,Delhi,Delhi,site_117,"ITO, Delhi - CPCB",2021,123.15080572354803,,16.170924980925804,2.2151549672481283,24.03443528339518,17.338339937264976
12,Delhi,Delhi,site_118,"DTU, Delhi - CPCB",2021,126.97036885518276,201.18489651644185,8.018789200305582,1.3523580815654737,54.860337237113754,36.90627903288167
13,Delhi,Delhi,site_119,"Sirifort, Delhi - CPCB",2021,98.42649349933087,206.65686892169512,7.374421384037476,1.6833980102328385,,51.673605045061166
